STRUCTURE_NUMBER_008,LAT_016,LONG_017,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071
1.08E+13,33.563830555555555,-95.91639444444445,1.0,5.0,1.0,N,N,N,6,6,6.0,6,N,5.0,6
1.08E+13,33.49270833333333,-95.94266666666667,1.0,5.0,5.0,7,7,6,5,N,6.0,6,N,5.0,9
1.08E+13,33.45560555555556,-95.94165277777778,1.0,5.0,5.0,7,7,6,5,N,6.0,7,N,5.0,9
1.08E+13,33.76360833333333,-95.9165888888889,1.0,9.0,1.0,N,N,N,7,6,6.0,9,N,5.0,5
1.08E+13,33.66093611111111,-95.90909722222223,1.0,5.0,1.0,7,7,6,6,N,6.0,6,N,5.0,6
1.08E+13,33.71788888888889,-95.91125555555556,1.0,5.0,1.0,7,6,6,6,N,6.0,6,N,5.0,6
1.08E+13,33.600125,-95.91146666666667,1.0,5.0,1.0,N,N,N,6,7,6.0,4,N,5.0,6
1.08E+13,33.76053888888889,-95.91609722222223,1.0,9.0,5.0,7,7,7,7,N,7.0,6,N,5.0,8
1.08E+13,33.75879444444445,-95.91582777777778,1.0,5.0,5.0,7,7,7,6,N,7.0,6,N,5.0,8
1.08E+13,33.823347222222225,-95.86056666666666,1.0,5.0,5.0,7,7,5,5,N,5.0,6,N,5.0,5
1.08E+13,33.50666388888889,-96.37259444444443,1.0,5.0,1.0,7,7,6,7,N,6.0,5,N,5.0,7
1.08E+13,33.48948611111111,-96.36075555555556,1.0,5.0,1.0,7,7,6,6,N,6.0,4,N,5.0,7
1.08E+13,33.47915833333334,-96.34058611111111,1.0,5.0,1.0,7,7,6,6,N,6.0,4,N,5.0,6
1.08E+13,33.37854166666667,-96.23821944444444,1.0,5.0,1.0,N,N,N,7,7,6.0,9,N,5.0,6
1.08E+13,33.43695833333333,-96.33773055555555,1.0,1.0,5.0,5,7,7,N,N,7.0,5,7,5.0,N
1.08E+13,33.46319444444445,-96.36223888888888,1.0,5.0,1.0,N,N,N,7,6,6.0,N,N,5.0,6
1.08E+13,33.663719444444446,-96.1811388888889,1.0,5.0,4.0,6,6,5,7,N,5.0,7,N,5.0,6
1.08E+13,33.642266666666664,-96.18035277777778,1.0,5.0,4.0,6,6,6,6,N,6.0,7,N,5.0,6
1.08E+13,33.62600833333333,-96.17654444444445,1.0,5.0,4.0,6,6,6,6,N,6.0,7,N,5.0,6
1.08E+13,33.75311666666666,-96.19623611111112,1.0,5.0,5.0,7,7,7,7,N,7.0,7,N,5.0,9
1.08E+13,33.57246666666667,-96.1781,5.0,5.0,1.0,6,6,6,6,N,6.0,5,N,5.0,6
1.08E+13,33.56585277777778,-96.17763055555557,1.0,5.0,1.0,N,N,N,6,6,6.0,N,N,5.0,6
1.08E+13,33.555816666666665,-96.176225,1.0,5.0,1.0,N,N,N,6,7,6.0,N,N,5.0,6
1.08E+13,33.54388055555555,-96.18249444444444,1.0,5.0,1.0,N,N,N,7,7,6.0,4,N,5.0,6
1.08E+13,33.54065833333333,-96.1795638888889,1.0,5.0,4.0,6,6,6,6,N,5.0,3,N,5.0,6
1.08E+13,33.42853611111111,-96.16815833333334,1.0,5.0,1.0,N,N,N,5,5,5.0,4,N,5.0,6
1.08E+13,33.405255555555556,-96.20475277777778,1.0,5.0,1.0,N,N,N,5,5,5.0,4,N,5.0,6
1.08E+13,33.39343611111111,-96.22349166666667,1.0,5.0,1.0,N,N,N,7,5,5.0,5,N,5.0,6
1.08E+13,33.37990277777778,-96.27220833333334,1.0,5.0,1.0,N,N,N,7,6,6.0,3,N,5.0,6
1.08E+13,33.37435555555555,-96.29559444444445,1.0,5.0,1.0,N,N,N,6,6,6.0,3,N,5.0,6
1.08E+13,33.37475833333333,-96.31169166666666,1.0,5.0,1.0,N,N,N,7,6,6.0,2,N,5.0,6
1.08E+13,33.37522222222222,-96.32833611111111,1.0,5.0,1.0,N,N,N,6,6,6.0,2,N,5.0,6
1.08E+13,33.37557777777778,-96.34045277777777,1.0,5.0,1.0,N,N,N,7,6,6.0,N,N,5.0,6
1.08E+13,33.375725,-96.35068333333332,1.0,5.0,1.0,N,N,N,6,7,6.0,N,N,5.0,6
1.08E+13,33.375816666666665,-96.35751944444443,1.0,5.0,1.0,N,N,N,7,6,6.0,N,N,5.0,6
1.08E+13,33.52162777777777,-96.34271666666666,1.0,5.0,1.0,N,N,N,7,7,6.0,5,N,5.0,4
1.08E+13,33.548474999999996,-96.27178055555555,1.0,5.0,1.0,N,N,N,7,7,6.0,6,N,5.0,7
1.08E+13,33.60284166666667,-96.27786388888889,1.0,5.0,1.0,7,7,6,8,N,6.0,4,N,5.0,6
1.08E+13,33.60458888888889,-96.27782777777777,1.0,9.0,1.0,N,N,N,7,6,6.0,4,N,5.0,4
1.08E+13,33.60655,-96.277775,1.0,9.0,1.0,N,N,N,7,6,6.0,4,N,5.0,4
1.08E+13,33.62382777777778,-96.2570361111111,1.0,5.0,1.0,7,6,6,6,N,6.0,4,N,5.0,5
1.08E+13,33.61060277777778,-96.27782777777777,1.0,1.0,5.0,7,7,7,N,N,7.0,9,6,5.0,N
1.08E+13,33.64771666666667,-96.16553333333334,1.0,5.0,1.0,7,7,6,6,N,6.0,6,N,5.0,9
1.08E+13,33.65591666666666,-96.16258611111111,1.0,5.0,1.0,7,7,7,8,N,7.0,6,N,5.0,9
1.08E+13,33.659175,-96.15853055555556,1.0,5.0,1.0,7,7,6,5,N,6.0,6,N,5.0,9
1.08E+13,33.54380555555555,-96.21410833333334,1.0,5.0,1.0,N,N,N,5,5,5.0,7,N,5.0,6
1.08E+13,33.52576111111111,-96.224,1.0,5.0,1.0,N,N,N,5,6,5.0,7,N,5.0,6
1.08E+13,33.514719444444445,-96.23050833333333,1.0,5.0,1.0,N,N,N,5,6,6.0,N,N,5.0,6
1.08E+13,33.61253055555556,-96.19196388888889,1.0,5.0,1.0,N,N,N,6,6,6.0,N,N,5.0,6
1.08E+13,33.58883333333333,-96.19248888888889,1.0,5.0,1.0,N,N,N,7,7,6.0,4,N,5.0,6
1.08E+13,33.57805555555556,-96.19235555555557,1.0,5.0,1.0,N,N,N,6,7,6.0,9,N,5.0,6
1.08E+13,33.56603333333333,-96.20209444444444,1.0,5.0,1.0,N,N,N,6,6,6.0,N,N,5.0,6
1.08E+13,33.46676388888889,-96.2778,1.0,5.0,1.0,6,6,6,6,N,6.0,5,N,5.0,6
1.08E+13,33.44893888888888,-96.30529444444444,1.0,5.0,1.0,N,N,N,6,6,6.0,N,N,5.0,6
1.08E+13,33.46768055555556,-96.27666111111111,1.0,9.0,1.0,7,7,6,6,N,6.0,5,N,5.0,6
1.08E+13,33.418641666666666,-96.3630361111111,1.0,5.0,1.0,N,N,N,6,7,6.0,N,N,5.0,6
1.08E+13,33.43456944444444,-96.34484444444443,1.0,2.0,1.0,6,7,6,N,N,6.0,5,5,5.0,N
1.08E+13,33.464780555555556,-96.08152777777778,1.0,5.0,1.0,6,6,6,6,N,6.0,4,N,5.0,6
1.08E+13,33.44201388888889,-96.05897222222222,1.0,5.0,1.0,6,5,5,4,N,5.0,4,N,5.0,6
1.08E+13,33.55488611111111,-96.16972777777778,1.0,5.0,1.0,7,7,7,6,N,7.0,8,N,5.0,6
1.08E+13,33.55524444444444,-96.17102222222222,1.0,5.0,1.0,N,N,N,7,7,6.0,8,N,5.0,6
1.08E+13,33.5539,-96.16622777777778,1.0,5.0,1.0,N,N,N,6,7,6.0,8,N,5.0,6
1.08E+13,33.42964166666666,-96.34464722222222,1.0,5.0,1.0,N,N,N,6,6,6.0,N,N,5.0,7
1.08E+13,33.3748,-96.20879166666667,1.0,5.0,1.0,7,7,6,5,N,6.0,3,N,5.0,7
1.08E+13,33.37737777777778,-96.19498055555556,1.0,5.0,1.0,6,6,6,6,N,6.0,3,N,5.0,7
1.08E+13,33.37634722222222,-96.18891111111111,1.0,5.0,1.0,6,6,6,6,N,6.0,3,N,5.0,7
1.08E+13,33.45973888888889,-96.24825555555556,1.0,5.0,1.0,7,7,6,5,N,6.0,3,N,5.0,7
1.08E+13,33.46252777777778,-96.24823055555555,1.0,5.0,5.0,8,8,6,6,N,6.0,5,N,5.0,7
1.08E+13,33.37875833333334,-96.15685833333333,1.0,5.0,1.0,N,N,N,6,6,6.0,4,N,5.0,7
1.08E+13,33.552775,-95.89858611111111,1.0,5.0,4.0,6,6,6,7,N,6.0,4,N,5.0,6
1.08E+13,33.50701111111111,-95.90034722222222,1.0,5.0,1.0,N,N,N,7,7,6.0,6,N,5.0,7
1.08E+13,33.505177777777774,-95.89583888888889,1.0,5.0,5.0,8,7,7,6,N,7.0,6,N,5.0,8
1.08E+13,33.65449722222222,-96.0544861111111,1.0,5.0,5.0,7,7,7,7,N,7.0,7,N,5.0,9
1.08E+13,33.56500833333333,-96.08233333333332,1.0,5.0,1.0,N,N,N,6,7,6.0,6,N,5.0,7
1.08E+13,33.48894166666667,-96.0175111111111,1.0,5.0,1.0,N,N,N,5,6,6.0,9,N,5.0,7
1.08E+13,33.488791666666664,-96.01266944444444,1.0,5.0,1.0,N,N,N,5,5,5.0,9,N,5.0,7
1.08E+13,33.50590833333333,-96.08059722222222,1.0,5.0,1.0,N,N,N,6,7,6.0,9,N,5.0,7
1.08E+13,33.48927777777778,-96.03641666666667,1.0,5.0,1.0,7,7,7,6,N,7.0,6,N,5.0,7
1.08E+13,33.48831111111111,-95.99159166666666,1.0,5.0,5.0,7,8,7,6,N,7.0,6,N,5.0,9
1.08E+13,33.48176111111111,-95.96648055555556,1.0,5.0,5.0,7,8,7,6,N,7.0,6,N,5.0,9
1.08E+13,33.48699444444445,-95.89983333333333,1.0,5.0,5.0,8,7,6,6,N,6.0,6,N,5.0,7
1.08E+13,33.48144444444445,-95.92631111111112,1.0,5.0,5.0,6,8,6,5,N,6.0,6,N,5.0,9
1.08E+13,33.490475,-95.89104166666667,1.0,5.0,5.0,7,7,7,6,N,7.0,6,N,5.0,9
1.08E+13,33.49025,-95.86814444444444,1.0,5.0,1.0,N,N,N,7,7,7.0,5,N,5.0,7
1.08E+13,33.4443,-96.12960833333332,1.0,5.0,1.0,N,N,N,7,7,6.0,6,N,5.0,7
1.08E+13,33.45979444444445,-96.18483611111111,1.0,5.0,1.0,7,7,6,6,N,6.0,5,N,5.0,7
1.08E+13,33.45927777777778,-96.18041666666667,1.0,5.0,5.0,8,7,7,6,N,7.0,6,N,5.0,9
1.08E+13,33.46028888888889,-96.20478055555556,1.0,5.0,5.0,8,8,7,7,N,7.0,6,N,5.0,9
1.08E+13,33.64570555555556,-96.35658888888888,1.0,5.0,1.0,N,N,N,5,7,6.0,5,N,5.0,4
1.08E+13,33.57112777777778,-96.34980555555555,1.0,5.0,1.0,N,N,N,6,5,5.0,5,N,5.0,7
1.08E+13,33.591838888888894,-96.36811388888889,1.0,5.0,1.0,N,N,N,7,6,6.0,5,N,5.0,7
1.08E+13,33.57958055555556,-96.35773888888889,1.0,5.0,1.0,N,N,N,7,7,6.0,5,N,5.0,7
1.08E+13,33.678780555555555,-96.27319722222222,1.0,9.0,1.0,6,7,6,7,N,6.0,4,N,5.0,6
