STRUCTURE_NUMBER_008,STRUCTURE_NUMBER_0082,Common St. Nos.,LAT_016,LONG_017,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071
0000000L2015318,0000000L2015318,Unique,35185702,101560762,1,5,1,N,N,N,6,7,7,6,N,5,7
1.08E+13,1.075E+13,Unique,33343306,96092063,1,5,1,7,6,5,5,N,5,6,N,5,3
1.08E+13,1.075E+13,Unique,33343220,96090456,1,9,1,7,7,6,6,N,6,6,N,5,3
1.08E+13,1.075E+13,Unique,33343121,96084591,1,5,1,N,N,N,6,7,6,N,N,5,6
1.08E+13,1.075E+13,Unique,33343720,96070966,1,5,1,7,7,6,6,N,6,6,N,5,6
1.08E+13,1.075E+13,Unique,33342339,96022258,1,5,1,7,7,5,5,N,5,6,N,5,6
1.08E+13,1.075E+13,Unique,33341395,96014048,1,5,1,6,6,6,5,N,6,6,N,5,6
1.08E+13,1.075E+13,Unique,33351394,95530900,1,5,1,N,N,N,7,6,6,N,N,5,6
1.08E+13,1.075E+13,Unique,33364948,96212695,1,1,5,7,7,7,N,N,7,4,9,5,N
1.08E+13,1.075E+13,Unique,33355027,95544163,1,1,5,7,7,7,N,N,7,9,6,5,N
1.08E+13,1.075E+13,Unique,33361447,96131152,1,5,1,N,N,N,5,6,5,9,N,5,6
1.08E+13,1.075E+13,Unique,33361808,96113867,1,5,1,N,N,N,6,6,5,9,N,5,9
1.08E+13,1.075E+13,Unique,33361517,96103014,1,1,5,7,6,7,N,N,6,5,7,5,N
1.08E+13,1.075E+13,Unique,33361802,96112959,1,1,5,7,7,7,N,N,7,5,8,5,N
1.08E+13,1.075E+13,Unique,33365343,96220324,1,5,1,N,N,N,7,7,5,9,N,5,6
1.08E+13,1.075E+13,Unique,33363371,96162419,1,5,5,7,7,7,6,N,7,9,N,5,6
1.08E+13,1.075E+13,Unique,33363051,96161108,1,5,1,N,N,N,7,7,5,9,N,5,9
1.08E+13,1.075E+13,Unique,33363423,96162111,1,5,5,7,7,7,6,N,7,7,N,5,6
1.08E+13,1.075E+13,Unique,33361875,96112976,1,1,5,7,8,7,N,N,7,6,7,5,N
1.08E+13,1.075E+13,Unique,33361632,96103024,1,1,5,7,8,7,N,N,7,5,6,5,N
1.08E+13,1.075E+13,Unique,33354562,95514423,1,5,1,N,N,N,6,6,6,N,N,5,6
1.08E+13,1.075E+13,Unique,33361105,96084519,1,9,5,7,7,7,6,N,7,6,N,5,9
1.08E+13,1.075E+13,Unique,33361026,96082509,1,5,5,6,7,6,6,N,6,6,N,5,9
1.08E+13,1.075E+13,Unique,33361445,96075198,1,5,5,7,6,7,7,N,6,9,N,5,9
1.08E+13,1.075E+13,Unique,33362656,96022195,1,5,5,7,6,6,6,N,6,9,N,5,9
1.08E+13,1.075E+13,Unique,33362348,96055809,1,5,1,N,N,N,6,6,6,N,N,5,6
1.08E+13,1.075E+13,Unique,33362307,96051437,1,5,1,N,N,N,7,6,6,N,N,5,6
1.08E+13,1.075E+13,Unique,33363213,96015415,1,5,1,N,N,N,7,7,6,N,N,5,6
1.08E+13,1.075E+13,Unique,33363326,96014340,1,5,1,N,N,N,6,6,6,N,N,5,6
1.08E+13,1.075E+13,Unique,33362104,95585897,1,5,1,N,N,N,8,7,6,N,N,5,6
1.08E+13,1.075E+13,Unique,33362009,95583550,1,5,1,N,N,N,7,6,6,N,N,5,6
1.08E+13,1.075E+13,Unique,33355480,95553149,1,5,1,N,N,N,6,7,6,N,N,5,6
1.08E+13,1.075E+13,Unique,33355258,95550432,1,5,1,N,N,N,7,7,6,N,N,5,6
1.08E+13,1.075E+13,Unique,33361182,96084497,1,9,5,7,8,7,7,N,7,5,N,5,9
1.08E+13,1.075E+13,Unique,33361107,96082522,1,5,5,7,7,7,7,N,7,5,N,5,9
1.08E+13,1.075E+13,Unique,33361267,96075162,1,5,5,7,8,7,7,N,7,5,N,5,9
1.08E+13,1.075E+13,Unique,33362499,96022437,1,5,5,7,8,7,6,N,7,5,N,5,9
1.08E+13,1.075E+13,Unique,33355116,95544176,1,1,5,7,8,8,N,N,8,6,6,5,N
1.08E+13,1.075E+13,Unique,33241848,95561883,1,5,1,N,N,N,7,6,6,6,N,5,6
1.08E+13,1.075E+13,Unique,33270424,95562565,1,9,1,N,N,N,6,5,5,5,N,5,6
1.08E+13,1.075E+13,Unique,33272860,95563115,1,9,1,N,N,N,5,5,5,9,N,5,6
1.08E+13,1.075E+13,Unique,33311020,95561270,1,5,1,N,N,N,5,6,6,6,N,5,6
1.08E+13,1.075E+13,Unique,33322341,95551589,1,5,1,N,N,N,6,6,6,6,N,5,6
1.08E+13,1.075E+13,Unique,33334979,95545902,1,5,1,N,N,N,6,6,6,6,N,5,6
1.08E+13,1.075E+13,Unique,33293375,95563360,1,5,5,7,7,6,5,N,6,6,N,5,9
1.08E+13,1.075E+13,Unique,33272018,95562995,1,5,5,7,7,6,5,N,6,7,N,5,9
1.08E+13,1.075E+13,Unique,33454899,95545972,1,9,1,N,N,N,7,6,6,9,N,5,5
1.08E+13,1.075E+13,Unique,33393937,95543275,1,5,1,7,7,6,6,N,6,6,N,5,6
1.08E+13,1.075E+13,Unique,33430440,95544052,1,5,1,7,6,6,6,N,6,6,N,5,6
1.08E+13,1.075E+13,Unique,33360045,95544128,1,5,1,N,N,N,6,7,6,4,N,5,6
1.08E+13,1.075E+13,Unique,33453794,95545795,1,9,5,7,7,7,7,N,7,6,N,5,8
1.08E+13,1.075E+13,Unique,33453166,95545698,1,5,5,7,7,7,6,N,7,6,N,5,8
1.08E+13,1.075E+13,Unique,33492405,95513804,1,5,5,7,7,5,5,N,5,6,N,5,5
1.08E+13,1.075E+13,Unique,33302399,96222134,1,5,1,7,7,6,7,N,6,5,N,5,7
1.08E+13,1.075E+13,Unique,33292215,96213872,1,5,1,7,7,6,6,N,6,4,N,5,7
1.08E+13,1.075E+13,Unique,33284497,96202611,1,5,1,7,7,6,6,N,6,4,N,5,6
1.08E+13,1.075E+13,Unique,33224275,96141759,1,5,1,N,N,N,7,7,6,9,N,5,6
1.08E+13,1.075E+13,Unique,33261305,96201583,1,1,5,5,7,7,N,N,7,5,7,5,N
1.08E+13,1.075E+13,Unique,33274750,96214406,1,5,1,N,N,N,7,6,6,N,N,5,6
1.08E+13,1.075E+13,Unique,33394939,96105210,1,5,4,6,6,5,7,N,5,7,N,5,6
1.08E+13,1.075E+13,Unique,33383216,96104927,1,5,4,6,6,6,6,N,6,7,N,5,6
1.08E+13,1.075E+13,Unique,33373363,96103556,1,5,4,6,6,6,6,N,6,7,N,5,6
1.08E+13,1.075E+13,Unique,33451122,96114645,1,5,5,7,7,7,7,N,7,7,N,5,9
1.08E+13,1.075E+13,Unique,33342088,96104116,5,5,1,6,6,6,6,N,6,5,N,5,6
1.08E+13,1.075E+13,Unique,33335707,96103947,1,5,1,N,N,N,6,6,6,N,N,5,6
1.08E+13,1.075E+13,Unique,33332094,96103441,1,5,1,N,N,N,6,7,6,N,N,5,6
1.08E+13,1.075E+13,Unique,33323797,96105698,1,5,1,N,N,N,7,7,6,4,N,5,6
1.08E+13,1.075E+13,Unique,33322637,96104643,1,5,4,6,6,6,6,N,5,3,N,5,6
1.08E+13,1.075E+13,Unique,33254273,96100537,1,5,1,N,N,N,5,5,5,4,N,5,6
1.08E+13,1.075E+13,Unique,33241892,96121711,1,5,1,N,N,N,5,5,5,4,N,5,6
1.08E+13,1.075E+13,Unique,33233637,96132457,1,5,1,N,N,N,7,5,5,5,N,5,6
1.08E+13,1.075E+13,Unique,33224765,96161995,1,5,1,N,N,N,7,6,6,3,N,5,6
1.08E+13,1.075E+13,Unique,33222768,96174414,1,5,1,N,N,N,6,6,6,3,N,5,6
1.08E+13,1.075E+13,Unique,33222913,96184209,1,5,1,N,N,N,7,6,6,2,N,5,6
1.08E+13,1.075E+13,Unique,33223080,96194201,1,5,1,N,N,N,6,6,6,2,N,5,6
1.08E+13,1.075E+13,Unique,33223208,96202563,1,5,1,N,N,N,7,6,6,N,N,5,6
1.08E+13,1.075E+13,Unique,33223261,96210246,1,5,1,N,N,N,6,7,6,N,N,5,6
1.08E+13,1.07501E+13,Unique,33223294,96212707,1,5,1,N,N,N,7,6,6,N,N,5,6
1.08E+13,1.07501E+13,Unique,33311786,96203378,1,5,1,N,N,N,7,7,6,5,N,5,4
1.08E+13,1.07501E+13,Unique,33325451,96161841,1,5,1,N,N,N,7,7,6,6,N,5,7
1.08E+13,1.07501E+13,Unique,33361023,96164031,1,5,1,7,7,6,8,N,6,4,N,5,6
1.08E+13,1.07501E+13,Unique,33361652,96164018,1,9,1,N,N,N,7,6,6,4,N,5,4
1.08E+13,1.07501E+13,Unique,33362358,96163999,1,9,1,N,N,N,7,6,6,4,N,5,4
1.08E+13,1.07501E+13,Unique,33372578,96152533,1,5,1,7,6,6,6,N,6,4,N,5,5
1.08E+13,1.07501E+13,Unique,33363817,96164018,1,1,5,7,7,7,N,N,7,9,6,5,N
1.08E+13,1.07501E+13,Unique,33385178,96095592,1,5,1,7,7,6,6,N,6,6,N,5,9
1.08E+13,1.07501E+13,Unique,33392130,96094531,1,5,1,7,7,7,8,N,7,6,N,5,9
1.08E+13,1.07501E+13,Unique,33393303,96093071,1,5,1,7,7,6,5,N,6,6,N,5,9
1.08E+13,1.07501E+13,Unique,33323770,96125079,1,5,1,N,N,N,5,5,5,7,N,5,6
1.08E+13,1.07501E+13,Unique,33313274,96132640,1,5,1,N,N,N,5,6,5,7,N,5,6
1.08E+13,1.07501E+13,Unique,33305299,96134983,1,5,1,N,N,N,5,6,6,N,N,5,6
1.08E+13,1.07501E+13,Unique,33364511,96113107,1,5,1,N,N,N,6,6,6,N,N,5,6
1.08E+13,1.07501E+13,Unique,33351980,96113296,1,5,1,N,N,N,7,7,6,4,N,5,6
1.08E+13,1.07501E+13,Unique,33344100,96113248,1,5,1,N,N,N,6,7,6,9,N,5,6
1.08E+13,1.07501E+13,Unique,33335772,96120754,1,5,1,N,N,N,6,6,6,N,N,5,6
1.08E+13,1.07501E+13,Unique,33280035,96164008,1,5,1,6,6,6,6,N,6,5,N,5,6
1.08E+13,1.07501E+13,Unique,33265618,96181906,1,5,1,N,N,N,6,6,6,N,N,5,6
1.08E+13,1.07501E+13,Unique,33280365,96163598,1,9,1,7,7,6,6,N,6,5,N,5,6
1.08E+13,1.07501E+13,Unique,33250711,96214693,1,5,1,N,N,N,6,7,6,N,N,5,6
1.08E+13,1.07501E+13,Unique,33260445,96204144,1,2,1,6,7,6,N,N,6,5,5,5,N
1.08E+13,1.07501E+13,Unique,33275321,96045350,1,5,1,6,6,6,6,N,6,4,N,5,6
1.08E+13,1.07501E+13,Unique,33263125,96033230,1,5,1,6,5,5,4,N,5,4,N,5,6
1.08E+13,1.07501E+13,Unique,33331759,96101102,1,5,1,7,7,7,6,N,7,8,N,5,6
1.08E+13,1.07501E+13,Unique,33331888,96101568,1,5,1,N,N,N,7,7,6,8,N,5,6
1.08E+13,1.07501E+13,Unique,33331404,96095842,1,5,1,N,N,N,6,7,6,8,N,5,6
1.08E+13,1.07501E+13,Unique,33254671,96204073,1,5,1,N,N,N,6,6,6,N,N,5,7
1.08E+13,1.07501E+13,Unique,33222928,96123165,1,5,1,7,7,6,5,N,6,3,N,5,7
1.08E+13,1.07501E+13,Unique,33223856,96114193,1,5,1,6,6,6,6,N,6,3,N,5,7
1.08E+13,1.07501E+13,Unique,33223485,96112008,1,5,1,6,6,6,6,N,6,3,N,5,7
1.08E+13,1.07501E+13,Unique,33273506,96145372,1,5,1,7,7,6,5,N,6,3,N,5,7
1.08E+13,1.07501E+13,Unique,33274510,96145363,1,5,5,8,8,6,6,N,6,5,N,5,7
1.08E+13,1.07501E+13,Unique,33224353,96092469,1,5,1,N,N,N,6,6,6,4,N,5,7
1.08E+13,1.07501E+13,Unique,33330999,95535491,1,5,4,6,6,6,7,N,6,4,N,5,6
1.08E+13,1.07501E+13,Unique,33302524,95540125,1,5,1,N,N,N,7,7,6,6,N,5,7
1.08E+13,1.07501E+13,Unique,33301864,95534502,1,5,5,8,7,7,6,N,7,6,N,5,8
1.08E+13,1.07501E+13,Unique,33391619,96031615,1,5,5,7,7,7,7,N,7,7,N,5,9
1.08E+13,1.07501E+13,Unique,33335403,96045640,1,5,1,N,N,N,6,7,6,6,N,5,7
1.08E+13,1.07501E+13,Unique,33292019,96010304,1,5,1,N,N,N,5,6,6,9,N,5,7
1.08E+13,1.07501E+13,Unique,33291965,96004561,1,5,1,N,N,N,5,5,5,9,N,5,7
1.08E+13,1.07501E+13,Unique,33302127,96045015,1,5,1,N,N,N,6,7,6,9,N,5,7
1.08E+13,1.07501E+13,Unique,33292140,96021110,1,5,1,7,7,7,6,N,7,6,N,5,7
1.08E+13,1.07501E+13,Unique,33291792,95592973,1,5,5,7,8,7,6,N,7,6,N,5,9
1.08E+13,1.07501E+13,Unique,33285434,95575933,1,5,5,7,8,7,6,N,7,6,N,5,9
1.08E+13,1.07501E+13,Unique,33291318,95535940,1,5,5,8,7,6,6,N,6,6,N,5,7
1.08E+13,1.07501E+13,Unique,33285320,95553472,1,5,5,6,8,6,5,N,6,6,N,5,9
1.08E+13,1.07501E+13,Unique,33292571,95532775,1,5,5,7,7,7,6,N,7,6,N,5,9
1.08E+13,1.07501E+13,Unique,33292490,95520532,1,5,1,N,N,N,7,7,7,5,N,5,7
1.08E+13,1.07501E+13,Unique,33263948,96074659,1,5,1,N,N,N,7,7,6,6,N,5,7
1.08E+13,1.07501E+13,Unique,33273526,96110541,1,5,1,7,7,6,6,N,6,5,N,5,7
1.08E+13,1.07501E+13,Unique,33273340,96104950,1,5,5,8,7,7,6,N,7,6,N,5,9
1.08E+13,1.07502E+13,Unique,33273704,96121721,1,5,5,8,8,7,7,N,7,6,N,5,9
1.08E+13,1.07502E+13,Unique,33384454,96212372,1,5,1,N,N,N,5,7,6,5,N,5,4
1.08E+13,1.07502E+13,Unique,33341606,96205930,1,5,1,N,N,N,6,5,5,5,N,5,7
1.08E+13,1.07502E+13,Unique,33353062,96220521,1,5,1,N,N,N,7,6,6,5,N,5,7
1.08E+13,1.07502E+13,Unique,33344649,96212786,1,5,1,N,N,N,7,7,6,5,N,5,7
1.08E+13,1.07502E+13,Unique,33404361,96162351,1,9,1,6,7,6,7,N,6,4,N,5,6
1.08E+13,1.07502E+13,Unique,33405660,96190898,1,5,1,N,N,N,6,7,6,4,N,5,6
1.08E+13,1.07502E+13,Unique,33404462,96205419,1,5,1,7,6,3,4,N,3,5,N,3,6
1.08E+13,1.07502E+13,Unique,33404198,96161440,1,5,1,7,7,5,4,N,5,5,N,5,6
1.08E+13,1.07502E+13,Unique,33403904,96180021,1,5,1,N,N,N,6,7,6,N,N,5,6
1.08E+13,1.07502E+13,Unique,33435789,96142493,1,5,1,6,6,6,6,N,6,4,N,5,7
1.08E+13,1.07502E+13,Unique,33440426,96122543,1,5,1,6,6,6,6,N,6,4,N,5,7
1.08E+13,1.07502E+13,Unique,33322429,96120225,1,5,1,N,N,N,6,7,6,6,N,5,7
1.08E+13,1.07502E+13,Unique,33294963,96204809,1,5,1,N,N,N,6,7,6,8,N,5,6
1.08E+13,1.07502E+13,Unique,33295214,96201243,1,5,1,7,6,7,5,N,6,4,N,5,5
1.08E+13,1.07502E+13,Unique,33294034,96191214,1,5,1,N,N,N,6,7,6,8,N,5,6
1.08E+13,1.07502E+13,Unique,33292842,96174641,1,5,1,7,7,7,7,N,7,4,N,5,6
1.08E+13,1.07502E+13,Unique,33290710,96153155,1,1,5,6,6,6,N,N,6,5,7,5,N
1.08E+13,1.07502E+13,Unique,33242587,96065514,1,5,1,N,N,N,6,6,6,6,N,5,6
1.08E+13,1.07502E+13,Unique,33283116,96125189,1,5,1,7,7,6,6,N,6,4,N,5,6
1.08E+13,1.07503E+13,Unique,33274404,96121255,1,5,1,7,7,5,6,N,5,4,N,5,6
1.08E+13,1.07503E+13,Unique,33483516,96073658,1,5,1,N,N,N,7,6,6,N,N,5,7
1.08E+13,1.07503E+13,Unique,33483284,96064094,1,5,1,N,N,N,5,6,6,N,N,5,7
1.08E+13,1.07503E+13,Unique,33485209,96053667,1,5,1,N,N,N,6,6,6,N,N,5,7
1.08E+13,1.07503E+13,Unique,33485360,96043417,1,5,1,N,N,N,6,6,6,6,N,5,7
1.08E+13,1.07503E+13,Unique,33445097,96010908,1,5,1,7,7,6,6,N,6,5,N,5,5
1.08E+13,1.07503E+13,Unique,33274860,95524014,1,5,5,7,7,6,5,N,6,6,N,5,9
1.08E+13,1.07503E+13,Unique,33302447,96125091,1,5,1,7,7,6,6,N,6,5,N,5,7
1.08E+13,1.07503E+13,Unique,33285258,96125157,1,5,1,7,7,7,6,N,6,5,N,5,7
1.08E+13,1.07503E+13,Unique,33312260,96125825,1,5,5,7,8,7,6,N,7,6,N,5,8
1.08E+13,1.07503E+13,Unique,33443947,95573873,1,5,5,6,7,7,6,N,7,5,N,5,5
1.08E+13,1.07503E+13,Unique,33443827,95575527,1,9,1,N,N,N,6,7,7,7,N,5,5
1.08E+13,1.07503E+13,Unique,33442883,95553863,1,5,5,7,7,7,6,N,7,5,N,5,8
1.08E+13,1.07503E+13,Unique,33270931,95573708,1,5,1,7,7,3,3,N,3,5,N,5,7
1.08E+13,1.07503E+13,Unique,33273605,95581319,1,5,1,N,N,N,5,6,6,7,N,5,7
1.08E+13,010750AA0116001,Unique,33275939,95590993,1,5,1,N,N,N,5,5,5,N,N,5,7
010750AA0116001,010750AA0117001,Unique,33314209,96100887,1,5,5,7,8,7,6,N,7,5,N,5,7
1.08E+13,1.081E+13,Unique,33195174,95145899,1,5,1,N,N,N,6,7,6,9,N,5,6
1.08E+13,1.081E+13,Unique,33182422,95144864,1,5,1,N,N,N,6,6,6,9,N,5,6
1.08E+13,1.081E+13,Unique,33174331,95144185,1,5,1,N,N,N,6,6,6,9,N,5,6
1.08E+13,1.081E+13,Unique,33213865,95143615,1,9,5,7,7,7,6,N,7,9,N,5,6
1.08E+13,1.081E+13,Unique,33211336,95144812,1,9,1,7,7,7,6,N,7,8,N,5,6
1.08E+13,1.081E+13,Unique,33155522,95140786,1,9,1,6,6,6,5,N,6,7,N,5,6
1.08E+13,1.081E+13,Unique,33160575,95141229,1,9,1,7,7,7,7,N,7,7,N,5,6
1.08E+13,1.081E+13,Unique,33162475,95142026,1,5,1,7,7,6,6,N,6,7,N,5,6
1.08E+13,1.081E+13,Unique,33164033,95142669,1,9,1,7,7,7,6,N,7,7,N,5,6
1.08E+13,1.081E+13,Unique,33042582,95160326,1,5,1,N,N,N,6,6,6,N,N,5,6
1.08E+13,1.081E+13,Unique,33024731,95160770,1,5,1,6,6,7,6,N,6,9,N,5,6
1.08E+13,1.081E+13,Unique,33013543,95160943,1,5,1,7,7,6,7,N,6,9,N,5,6
1.08E+13,1.081E+13,Unique,33012452,95161269,1,5,1,7,7,7,7,N,7,9,N,5,5
1.08E+13,1.081E+13,Unique,33225739,95073745,1,9,5,7,7,6,6,N,6,9,N,5,9
1.08E+13,1.081E+13,Unique,33095800,95182551,1,1,5,7,7,6,N,N,6,2,6,5,N
1.08E+13,1.081E+13,Unique,33095612,95174937,1,5,1,6,6,6,6,N,6,5,N,5,6
1.08E+13,1.081E+13,Unique,33095547,95174947,1,5,1,6,6,5,6,N,5,5,N,5,6
1.08E+13,1.08101E+13,Unique,33095711,95174932,1,5,1,N,N,N,5,6,6,7,N,5,4
1.08E+13,1.08101E+13,Unique,33095453,95174961,1,5,1,N,N,N,5,6,6,6,N,5,4
1.08E+13,1.08101E+13,Unique,33095664,95174143,1,9,1,N,N,N,5,6,6,6,N,5,4
1.08E+13,1.08101E+13,Unique,33095404,95174169,1,9,1,N,N,N,5,6,6,6,N,5,4
1.08E+13,1.08101E+13,Unique,33095565,95174160,1,9,1,7,6,5,6,N,5,5,N,5,6
1.08E+13,1.08101E+13,Unique,33095500,95174168,1,9,1,5,6,5,6,N,5,5,N,5,6
1.08E+13,1.08101E+13,Unique,33095113,95162657,1,1,1,6,6,7,N,N,6,5,5,5,N
1.08E+13,1.08101E+13,Unique,33095047,95162666,1,1,1,6,5,6,7,N,5,5,5,5,N
1.08E+13,1.08101E+13,Unique,33094335,95141742,1,5,1,5,6,7,5,N,6,5,N,5,6
1.08E+13,1.08101E+13,Unique,33094268,95141748,1,5,1,6,6,6,6,N,6,5,N,5,6
1.08E+13,1.08101E+13,Unique,33094546,95141759,1,5,1,6,6,7,6,N,6,5,N,5,7
1.08E+13,1.08101E+13,Unique,33094099,95141751,1,5,1,6,6,7,6,N,6,4,N,5,7
1.08E+13,1.08101E+13,Unique,33094620,95130160,6,1,1,6,6,6,N,N,6,5,4,5,N
1.08E+13,1.08101E+13,Unique,33094533,95130161,6,1,1,6,6,6,N,N,6,5,4,5,N
1.08E+13,1.08101E+13,Unique,33094579,95103245,1,1,1,6,6,6,N,N,6,5,4,5,N
1.08E+13,1.08101E+13,Unique,33094514,95103237,1,1,1,6,6,6,N,N,6,5,3,5,N
1.08E+13,1.08101E+13,Unique,33093987,95075458,1,1,5,7,7,6,N,N,6,2,6,5,N
1.08E+13,1.08101E+13,Unique,33094366,95140515,6,1,5,7,7,5,N,N,5,9,7,5,N
1.08E+13,1.08101E+13,Unique,33060385,95174870,1,5,1,N,N,N,6,7,6,N,N,5,6
1.08E+13,1.08101E+13,Unique,33012823,95105819,1,5,1,N,N,N,6,7,6,9,N,5,6
1.08E+13,1.08101E+13,Unique,33000581,95105351,1,5,1,N,N,N,5,6,6,9,N,5,6
1.08E+13,1.08101E+13,Unique,32583057,95110387,1,5,1,7,7,6,6,N,6,6,N,5,6
1.08E+13,1.08101E+13,Unique,32584614,95133177,1,5,1,N,N,N,5,5,5,N,N,5,6
1.08E+13,1.08101E+13,Unique,33001380,95120099,1,5,1,N,N,N,5,6,6,6,N,5,6
1.08E+13,1.08101E+13,Unique,33042275,95080813,1,5,1,N,N,N,5,7,6,N,N,5,6
1.08E+13,1.08101E+13,Unique,33052264,95131487,1,5,1,N,N,N,6,7,6,N,N,5,6
1.08E+13,1.08101E+13,Unique,33025729,95130942,1,5,1,7,6,7,6,N,6,4,N,5,9
1.08E+13,1.08103E+13,Unique,33052683,95124059,1,5,1,N,N,N,6,7,6,6,N,5,4
010810AA0104001,1.08103E+13,Unique,33164868,95182419,1,5,5,7,8,7,7,N,7,5,N,5,7
1.09E+13,1.092E+13,Unique,33380616,96491415,1,5,1,6,6,6,6,N,5,6,N,5,6
1.09E+13,1.092E+13,Unique,33372608,96452721,1,5,1,N,N,N,8,6,6,9,N,5,6
1.09E+13,1.092E+13,Unique,33373165,96460599,1,5,1,N,N,N,6,6,6,9,N,5,6
1.09E+13,1.092E+13,Unique,33371642,96434203,1,5,1,N,N,N,6,6,6,N,N,5,6
1.09E+13,1.092E+13,Unique,33380248,96370077,1,5,3,6,6,6,6,N,6,5,N,5,6
1.09E+13,1.092E+13,Unique,33375249,96374736,1,5,5,8,8,7,8,N,7,6,N,5,6
1.09E+13,1.092E+13,Unique,33375471,96374719,1,5,5,7,8,7,6,N,7,6,N,5,6
1.09E+13,1.092E+13,Unique,33380633,96370079,1,5,5,8,8,6,6,N,6,4,N,5,6
1.09E+13,1.092E+13,Unique,33374033,96384237,1,1,5,7,7,7,N,N,7,9,7,5,N
1.09E+13,1.092E+13,Unique,33371207,96415370,1,1,5,7,7,7,N,N,7,9,3,5,N
1.09E+13,1.092E+13,Unique,33382485,96335463,1,5,1,N,N,N,6,6,6,9,N,5,6
1.09E+13,1.092E+13,Unique,33380703,96321275,1,5,1,N,N,N,6,6,6,9,N,5,6
1.09E+13,1.092E+13,Unique,33380261,96310878,1,5,1,N,N,N,6,6,6,7,N,5,6
1.09E+13,1.092E+13,Unique,33380161,96295974,1,9,1,N,N,N,7,7,6,7,N,5,6
1.09E+13,1.092E+13,Unique,33380112,96294620,1,9,1,N,N,N,8,6,6,7,N,5,6
1.09E+13,1.092E+13,Unique,33380168,96283654,1,5,1,N,N,N,6,6,6,9,N,5,6
1.09E+13,1.092E+13,Unique,33363633,96241716,1,5,1,N,N,N,7,6,6,9,N,5,6
1.09E+13,1.092E+13,Unique,33380109,96295622,1,5,5,7,8,7,6,N,7,6,N,5,9
1.09E+13,1.092E+13,Unique,33365451,96262828,1,5,5,7,8,7,6,N,7,7,N,5,9
1.09E+13,1.092E+13,Unique,33392249,96561533,1,1,5,8,7,7,N,N,7,7,6,5,N
1.09E+13,1.092E+13,Unique,33392195,96561490,1,1,5,8,7,7,N,N,7,7,6,5,N
1.09E+13,1.092E+13,Unique,33402500,96540123,1,5,1,N,N,N,6,6,5,N,N,5,6
1.09E+13,1.092E+13,Unique,33402560,96520104,1,2,5,7,6,7,N,N,6,7,6,5,N
1.09E+13,1.092E+13,Unique,33402496,96520148,1,2,5,7,7,7,N,N,7,7,9,5,N
1.09E+13,1.092E+13,Unique,33402231,96505050,1,1,5,7,7,7,N,N,7,7,6,5,N
1.09E+13,1.092E+13,Unique,33402170,96505056,1,1,5,7,7,6,N,N,6,7,7,5,N
1.09E+13,1.092E+13,Unique,33402066,96502198,1,5,1,N,N,N,6,7,5,N,N,5,6
1.09E+13,1.092E+13,Unique,33401941,96493775,1,5,1,7,7,7,6,N,7,8,N,5,6
1.09E+13,1.092E+13,Unique,33401875,96493780,1,5,1,6,7,7,6,N,7,8,N,5,6
1.09E+13,1.092E+13,Unique,33401841,96475063,1,5,1,6,6,6,6,N,6,9,N,5,6
1.09E+13,1.092E+13,Unique,33401775,96475065,1,5,1,6,6,6,6,N,6,9,N,5,6
1.09E+13,1.092E+13,Unique,33401783,96464989,1,5,1,6,6,7,7,N,6,9,N,5,6
1.09E+13,1.092E+13,Unique,33401715,96464989,1,5,1,6,6,6,5,N,6,8,N,5,6
1.09E+13,1.092E+13,Unique,33401572,96425377,1,5,1,6,6,7,6,N,6,8,N,5,6
1.09E+13,1.092E+13,Unique,33401508,96425377,1,5,1,6,7,6,6,N,6,8,N,5,6
1.09E+13,1.092E+13,Unique,33401593,96415959,1,5,1,N,N,N,6,7,5,N,N,5,9
1.09E+13,1.092E+13,Unique,33401635,96390617,1,5,1,6,6,6,7,N,6,8,N,5,6
1.09E+13,1.092E+13,Unique,33401572,96390619,1,5,1,6,6,6,6,N,6,8,N,5,6
1.09E+13,1.092E+13,Unique,33401630,96383232,1,1,5,7,6,7,N,N,6,8,6,5,N
1.09E+13,1.092E+13,Unique,33401568,96383225,1,1,5,7,7,7,N,N,7,8,6,5,N
1.09E+13,1.092E+13,Unique,33401809,96541904,1,1,5,8,6,7,N,N,6,7,6,5,N
1.09E+13,1.092E+13,Unique,33401813,96541932,1,1,5,8,6,7,N,N,6,7,6,5,N
1.09E+13,1.092E+13,Unique,33401740,96415525,1,1,5,7,6,7,N,N,6,9,7,5,N
1.09E+13,1.092E+13,Unique,33401463,96370315,1,1,5,7,7,7,N,N,7,9,7,5,N
1.09E+13,1.092E+13,Unique,33401599,96381072,1,5,1,N,N,N,6,7,5,N,N,5,9
1.09E+13,1.092E+13,Unique,33401497,96365407,1,5,1,N,N,N,5,6,5,N,N,5,9
1.09E+13,1.092E+13,Unique,33400484,96355403,1,1,5,7,8,7,N,N,7,5,5,5,N
1.09E+13,1.092E+13,Unique,33400423,96355426,1,1,5,6,7,6,N,N,6,5,5,5,N
1.09E+13,1.092E+13,Unique,33395913,96352767,1,4,5,7,8,7,N,N,7,5,5,5,N
